,num_reads
PER3,13.0
RP3-467L1.4,3.0
PARK7,1168.0
RERE,142.0
RP5-1115A15.1,6.0
ENO1,1669.0
ENO1-AS1,40.0
CA6,7.0
GPR157,21.0
MIR34AHG,4.0
H6PD,55.0
SPSB1,16.0
SLC25A33,73.0
TMEM201,5.0
PIK3CD,247.0
PIK3CD-AS1,4.0
PIK3CD-AS2,12.0
CLSTN1,144.0
CTNNBIP1,52.0
LZIC,177.0
NMNAT1,55.0
UBE4B,89.0
KIF1B,31.0
PGD,160.0
RP4-736L20.3,1.0
APITD1,22.0
DFFA,198.0
PEX14,80.0
CASZ1,5.0
TARDBP,416.0
RP4-635E18.9,2.0
RP4-635E18.8,42.0
SRM,399.0
EXOSC10,115.0
RP4-635E18.7,9.0
MTOR,32.0
UBIAD1,159.0
FBXO2,13.0
FBXO44,128.0
FBXO6,28.0
MAD2L2,146.0
DRAXIN,8.0
AGTRAP,49.0
MTHFR,73.0
CLCN6,28.0
KIAA2013,118.0
PLOD1,5.0
MFN2,67.0
MIIP,146.0
TNFRSF1B,95.0
VPS13D,103.0
DHRS3,210.0
HNRNPCL1,2.0
PRDM2,242.0
EFHD2,71.0
CASP9,20.0
DNAJC16,52.0
RP4-680D5.8,4.0
AGMAT,111.0
DDI2,69.0
PLEKHM2,47.0
SLC25A34,1.0
FBLIM1,17.0
UQCRHL,367.0
FLJ37453,108.0
SPEN,188.0
ZBTB17,72.0
ARHGEF19,29.0
RSG1,13.0
FBXO42,91.0
SZRD1,198.0
SPATA21,5.0
NECAP2,623.0
RP4-798A10.2,43.0
RP4-798A10.7,4.0
NBPF1,20.0
CROCC,49.0
RP11-108M9.4,151.0
RP11-108M9.6,41.0
ATP13A2,92.0
SDHB,302.0
PADI4,31.0
RCC2,108.0
ALDH4A1,9.0
IFFO2,35.0
UBR4,124.0
RP1-43E13.2,11.0
EMC1,65.0
MRTO4,164.0
AKR7A2,266.0
PQLC2,18.0
CAPZB,1270.0
MINOS1,1052.0
NBL1,27.0
TMCO4,52.0
OTUD3,29.0
UBXN10-AS1,3.0
CAMK2N1,14.0
MUL1,84.0
PINK1,89.0
PINK1-AS,4.0
DDOST,451.0
HP1BP3,871.0
EIF4G3,20.0
ECE1,63.0
RP5-1071N3.1,4.0
NBPF3,14.0
USP48,190.0
HSPG2,3.0
LINC00339,66.0
CDC42,1496.0
ZBTB40,58.0
KDM1A,61.0
LUZP1,107.0
LINC01355,105.0
HNRNPR,746.0
ZNF436,12.0
ZNF436-AS1,19.0
TCEA3,131.0
ID3,446.0
MDS2,115.0
RPL11,70537.0
TCEB3,127.0
TCEB3-AS1,43.0
PITHD1,509.0
LYPLA2,219.0
GALE,42.0
HMGCL,157.0
FUCA1,58.0
PNRC2,630.0
SRSF10,632.0
IFNLR1,4.0
STPG1,26.0
NIPAL3,250.0
RCAN3,871.0
RP4-594I10.3,383.0
SRRM1,1180.0
CLIC4,4.0
RUNX3,179.0
RP4-706G24.1,1.0
SYF2,1671.0
RSRP1,1225.0
RHD,4.0
TMEM50A,667.0
RHCE,3.0
TMEM57,119.0
LDLRAP1,915.0
RP11-70P17.1,18.0
MAN1C1,116.0
RP1-187B23.1,216.0
SEPN1,49.0
RP1-317E23.3,9.0
MTFR1L,78.0
PAQR7,23.0
STMN1,1040.0
PAFAH2,58.0
SLC30A2,7.0
PDIK1L,51.0
FAM110D,2.0
ZNF593,104.0
CNKSR1,9.0
CEP85,21.0
SH3BGRL3,4206.0
UBXN11,224.0
CD52,9394.0
AIM1L,5.0
ZNF683,10.0
DHDDS,49.0
HMGN2,2824.0
RPS6KA1,144.0
ARID1A,222.0
PIGV,40.0
ZDHHC18,51.0
GPN2,79.0
GPATCH3,78.0
NUDC,696.0
KDF1,18.0
SLC9A1,19.0
WDTC1,113.0
TMEM222,165.0
SYTL1,282.0
MAP3K6,23.0
WASF2,772.0
RP4-752I6.1,3.0
RP1-159A19.4,6.0
AHDC1,34.0
FGR,8.0
IFI6,280.0
FAM76A,158.0
STX12,160.0
PPP1R8,189.0
THEMIS2,186.0
RPA2,651.0
XKR8,117.0
EYA3,96.0
PTAFR,5.0
DNAJC8,856.0
ATPIF1,1252.0
RP5-1092A3.4,51.0
SESN2,40.0
MED18,55.0
PHACTR4,167.0
RCC1,163.0
TRNAU1AP,205.0
SNHG12,265.0
TAF12,261.0
RP11-442N24__B.1,7.0
RNU11,1.0
GMEB1,147.0
YTHDF2,568.0
OPRD1,3.0
EPB41,626.0
SRSF4,556.0
MECR,46.0
MATN1-AS1,26.0
LAPTM5,3746.0
PUM1,222.0
SNRNP40,323.0
ZCCHC17,244.0
PEF1,221.0
RP11-73M7.9,4.0
RP11-84A19.2,8.0
RP11-84A19.4,5.0
PTP4A2,732.0
KHDRBS1,1250.0
RP11-277A4.4,20.0
TMEM39B,90.0
KPNA6,279.0
TXLNA,67.0
CCDC28B,64.0
IQCC,14.0
DCDC2B,4.0
TMEM234,31.0
EIF3I,803.0
FAM167B,6.0
LCK,2371.0
HDAC1,704.0
MARCKSL1,587.0
TSSK3,2.0
FAM229A,16.0
BSDC1,461.0
ZBTB8B,5.0
ZBTB8A,21.0
ZBTB8OS,374.0
RBBP4,505.0
SYNC,150.0
YARS,248.0
S100PBP,90.0
RNF19B,15.0
AK2,168.0
AZIN2,8.0
TRIM62,20.0
ZNF362,32.0
PHC2,32.0
ZSCAN20,4.0
SMIM12,239.0
DLGAP3,11.0
RP11-244H3.4,12.0
ZMYM6,67.0
ZMYM1,42.0
SFPQ,931.0
ZMYM4,56.0
KIAA0319L,85.0
NCDN,35.0
RP4-728D4.2,31.0
PSMB2,410.0
C1orf216,73.0
CLSPN,8.0
AGO4,26.0
AGO1,84.0
AGO3,230.0
ADPRHL2,155.0
TRAPPC3,350.0
MAP7D1,578.0
THRAP3,874.0
SH3D21,1.0
EVA1B,11.0
STK40,85.0
LSM10,488.0
OSCP1,1.0
MRPS15,261.0
LINC01137,28.0
ZC3H12A,53.0
MEAF6,786.0
SNIP1,55.0
GNL2,117.0
C1orf109,119.0
CDCA8,4.0
YRDC,85.0
C1orf122,156.0
MTF1,92.0
INPP5B,85.0
SF3A3,334.0
FHL3,29.0
UTP11L,161.0
RRAGC,201.0
RP5-864K19.4,7.0
MYCBP,95.0
RHBDL2,3.0
AKIRIN1,478.0
NDUFS5,2134.0
MACF1,276.0
RP11-69E11.4,21.0
PABPC4,636.0
HPCAL4,72.0
PPIE,268.0
RP1-118J21.25,4.0
TRIT1,60.0
MFSD2A,2.0
CAP1,1114.0
PPT1,497.0
RLF,66.0
RP1-39G22.7,69.0
ZMPSTE24,108.0
COL9A2,3.0
SMAP2,251.0
ZFP69B,25.0
ZFP69,19.0
RP11-656D10.3,1.0
EXO5,39.0
ZNF684,19.0
RIMS3,4.0
NFYC-AS1,16.0
NFYC,215.0
CITED4,80.0
CTPS1,36.0
SLFNL1-AS1,2.0
SCMH1,53.0
HIVEP3,56.0
FOXJ3,104.0
PPCS,425.0
CCDC30,33.0
PPIH,235.0
YBX1,4294.0
P3H1,111.0
C1orf50,125.0
SVBP,330.0
ERMAP,9.0
RP11-342M1.3,2.0
ZNF691,52.0
SLC2A1,55.0
SLC2A1-AS1,7.0
EBNA1BP2,175.0
TIE1,2.0
RP1-92O14.3,10.0
ELOVL1,89.0
MED8,145.0
SZT2,105.0
HYI,94.0
PTPRF,9.0
KDM4A,46.0
KDM4A-AS1,16.0
ST3GAL3,27.0
RP11-184I16.4,6.0
RP11-7O11.3,5.0
IPO13,26.0
DPH2,80.0
ATP6V0B,488.0
CCDC24,4.0
SLC6A9,4.0
RP5-1198O20.4,7.0
DMAP1,170.0
ERI3,110.0
RNF220,131.0
TMEM53,7.0
C1orf228,195.0
RP11-269F19.2,3.0
RPS8,40873.0
BEST4,8.0
PLK3,371.0
PTCH2,5.0
EIF2B3,92.0
HECTD3,51.0
UROD,183.0
ZSWIM5,3.0
HPDL,5.0
MUTYH,93.0
TOE1,74.0
TESK2,17.0
CCDC163P,24.0
MMACHC,30.0
PRDX1,1562.0
AKR1A1,452.0
NASP,363.0
GPBP1L1,329.0
TMEM69,183.0
IPP,57.0
MAST2,9.0
PIK3R3,2.0
POMGNT1,124.0
LRRC41,103.0
UQCRH,2594.0
NSUN4,59.0
FAAH,6.0
MKNK1,131.0
MOB3C,32.0
ATPAF1,127.0
EFCAB14,198.0
STIL,3.0
CMPK1,1822.0
FOXD2-AS1,2.0
FOXD2,4.0
SPATA6,4.0
BEND5,47.0
FAF1,122.0
CDKN2C,65.0
LINC01562,1.0
RNF11,218.0
TTC39A,3.0
EPS15,141.0
OSBPL9,193.0
NRDC,302.0
RP4-657D16.3,6.0
RAB3B,7.0
TXNDC12,350.0
KTI12,113.0
BTF3L4,309.0
ZFYVE9,17.0
CC2D1B,82.0
ORC1,4.0
PRPF38A,452.0
ZCCHC11,485.0
GPX7,144.0
FAM159A,246.0
COA7,42.0
ZYG11B,87.0
ECHDC2,211.0
SCP2,457.0
CPT2,72.0
RP5-1024G6.2,8.0
C1orf123,256.0
RP5-1024G6.7,6.0
MAGOH,689.0
RP5-1024G6.5,6.0
LRP8,6.0
RP11-117D22.2,5.0
NDC1,35.0
YIPF1,57.0
HSPB11,332.0
LRRC42,52.0
TMEM59,1284.0
TCEANC2,62.0
CYB5RL,17.0
MRPL37,108.0
SSBP3,180.0
SSBP3-AS1,1.0
ACOT11,4.0
TTC4,22.0
PARS2,21.0
TTC22,31.0
DHCR24,3.0
USP24,72.0
DAB1,2.0
OMA1,156.0
MYSM1,69.0
JUN,132.0
LINC01358,8.0
FGGY,7.0
HOOK1,66.0
RP11-776H12.1,2.0
NFIA,26.0
TM2D1,377.0
INADL,88.0
L1TD1,14.0
USP1,325.0
DOCK7,19.0
ATG4C,75.0
ALG6,71.0
ITGB3BP,126.0
EFCAB7,31.0
PGM1,88.0
CACHD1,2.0
RAVER2,4.0
JAK1,1219.0
LEPROT,268.0
LEPR,6.0
PDE4B,101.0
WDR78,6.0
MIER1,351.0
SLC35D1,38.0
IL12RB2,5.0
SERBP1,1477.0
GADD45A,97.0
LRRC7,24.0
LRRC40,64.0
SRSF11,997.0
ANKRD13C,63.0
HHLA3,83.0
CTH,11.0
ZRANB2,873.0
LRRIQ3,33.0
FPGT,44.0
FPGT-TNNI3K,4.0
CRYZ,78.0
TYW3,158.0
SLC44A5,3.0
ACADM,223.0
RABGGTB,248.0
ST6GALNAC3,2.0
PIGK,99.0
AK5,337.0
ZZZ3,133.0
USP33,215.0
FAM73A,111.0
FUBP1,350.0
DNAJB4,73.0
GIPC2,6.0
RP11-386I14.4,15.0
IFI44L,19.0
IFI44,62.0
RP11-475O6.1,34.0
TTLL7,26.0
RP11-486G15.2,13.0
PRKACB,270.0
RPF1,372.0
GNG5,840.0
CTBS,155.0
SSX2IP,27.0
MCOLN2,6.0
MCOLN3,5.0
SYDE2,28.0
C1orf52,254.0
BCL10,129.0
RP11-131L23.1,5.0
ZNHIT6,137.0
ODF2L,403.0
RP4-612B15.3,8.0
SH3GLB1,205.0
SEP15,849.0
HS2ST1,57.0
LMO4,81.0
PKN2,147.0
GTF2B,378.0
CCBL2,110.0
RBMXL1,139.0
GBP3,116.0
GBP1,183.0
GBP2,955.0
GBP7,9.0
GBP4,153.0
GBP5,75.0
GBP6,2.0
LRRC8B,61.0
FLJ27354,29.0
LRRC8C,120.0
RP5-943J3.2,9.0
LRRC8D,62.0
ZNF326,149.0
ZNF644,167.0
CDC7,17.0
TGFBR3,42.0
SETSIP,3.0
BTBD8,15.0
KIAA1107,7.0
GLMN,122.0
RPAP2,283.0
GFI1,41.0
EVI5,14.0
RPL5,22592.0
FAM69A,38.0
MTF2,376.0
TMED5,183.0
CCDC18,88.0
DR1,334.0
FNBP1L,8.0
RP4-561L24.3,5.0
DNTTIP2,355.0
GCLM,211.0
ABCD3,70.0
CNN3,59.0
RP4-639F20.1,7.0
ALG14,34.0
RWDD3,24.0
PTBP2,48.0
DPYD,92.0
SNX7,4.0
AGL,93.0
RP5-884G6.2,3.0
SLC35A3,136.0
MFSD14A,175.0
SASS6,69.0
TRMT13,309.0
LRRC39,3.0
DBT,109.0
RTCA-AS1,4.0
RTCA,170.0
CDC14A,129.0
EXTL2,19.0
RP4-549L20.3,2.0
SLC30A7,351.0
DPH5,374.0
RP11-421L21.2,4.0
RP11-421L21.3,95.0
RP4-575N6.4,35.0
S1PR1,257.0
RNPC3,172.0
AMY2B,22.0
PRMT6,43.0
VAV3,4.0
SLC25A24,62.0
RP11-483I13.5,7.0
FAM102B,10.0
HENMT1,112.0
PRPF38B,1057.0
STXBP3,251.0
RP11-475E11.9,5.0
GPSM2,48.0
CLCC1,64.0
WDR47,23.0
TAF13,34.0
RP5-1065J22.8,33.0
TMEM167B,139.0
SCARNA2,19.0
KIAA1324,33.0
SARS,836.0
CELSR2,3.0
PSRC1,3.0
PSMA5,649.0
ATXN7L2,9.0
CYB561D1,131.0
AMIGO1,34.0
GNAI3,320.0
AMPD2,42.0
GSTM4,10.0
GSTM2,11.0
GSTM3,121.0
AHCYL1,135.0
STRIP1,129.0
RP4-773N10.4,6.0
KCNC4,28.0
RP5-1074L1.1,4.0
RBM15,48.0
SLC16A4,44.0
RP5-1074L1.4,9.0
LAMTOR5,861.0
RP11-284N8.3,77.0
KCNA3,60.0
CD53,863.0
RP11-96K19.2,3.0
LRIF1,223.0
RP11-96K19.5,4.0
DRAM2,231.0
CEPT1,188.0
RP5-1180E21.4,20.0
RP5-1180E21.5,118.0
DENND2D,496.0
CHI3L2,68.0
OVGP1,4.0
WDR77,151.0
ATP5F1,773.0
C1orf162,900.0
RAP1A,981.0
FAM212B,9.0
DDX20,89.0
KCND3,4.0
WNT2B,14.0
ST7L,63.0
CAPZA1,632.0
MOV10,66.0
RP11-426L16.3,4.0
RHOC,21.0
SLC16A1,48.0
SLC16A1-AS1,187.0
RP11-31F15.2,6.0
LRIG2,80.0
MAGI3,11.0
PHTF1,21.0
RSBN1,379.0
PTPN22,95.0
AP4B1-AS1,11.0
BCL2L15,4.0
AP4B1,54.0
DCLRE1B,19.0
HIPK1-AS1,35.0
HIPK1,106.0
TRIM33,175.0
BCAS2,401.0
DENND2C,5.0
NRAS,75.0
CSDE1,1475.0
SIKE1,178.0
TSPAN2,8.0
RP4-666F24.3,3.0
VANGL1,3.0
ATP1A1,900.0
CD58,42.0
CD2,1695.0
CD101,12.0
TTF2,101.0
RP11-188D8.1,31.0
MAN1A2,203.0
FAM46C,9.0
GDAP2,67.0
WDR3,93.0
WARS2,20.0
RP11-418J17.1,19.0
PHGDH,103.0
REG4,18.0
NOTCH2,66.0
SEC22B,353.0
AC253572.1,9.0
NBPF26,18.0
AC241377.2,24.0
LINC00623,134.0
SRGAP2C,109.0
RP11-344P13.6,40.0
RP11-403I13.5,10.0
RP11-403I13.7,11.0
RP11-14N7.2,5.0
RP11-763B22.4,153.0
NBPF15,82.0
SRGAP2B,98.0
AC241585.2,64.0
CH17-373J23.1,12.0
RP11-89F3.2,68.0
NBPF20,15.0
GPR89A,63.0
CD160,4.0
RNF115,353.0
POLR3C,59.0
NUDT17,9.0
PIAS3,42.0
ANKRD35,2.0
ITGA10,21.0
PEX11B,114.0
RBM8A,763.0
RP11-315I20.1,12.0
LIX1L,217.0
ANKRD34A,7.0
POLR3GL,547.0
TXNIP,1889.0
NBPF10,21.0
NOTCH2NL,21.0
CH17-353B19.1,7.0
NBPF12,78.0
PRKAB2,53.0
RP11-337C18.8,8.0
FMO5,2.0
CHD1L,48.0
BCL9,22.0
ACP6,43.0
GPR89B,79.0
XXyac-YX155B6.7,4.0
NBPF11,37.0
LINC01138,172.0
RP11-495P10.1,89.0
AC245100.1,359.0
PPIAL4G,82.0
NBPF14,40.0
PDE4DIP,160.0
NBPF9,57.0
CH17-189H20.1,1029.0
RP11-326G21.1,18.0
NBPF19,240.0
LINC00869,807.0
RP11-353N4.6,6.0
FAM231D,49.0
HIST2H2BF,8.0
HIST2H4A,4.0
HIST2H2BE,34.0
RP11-196G18.24,14.0
HIST2H4B,4.0
RP11-196G18.23,9.0
HIST2H2AC,42.0
HIST2H2AB,5.0
BOLA1,188.0
SV2A,17.0
SF3B4,327.0
OTUD7B,37.0
VPS45,80.0
PLEKHO1,287.0
ANP32E,473.0
APH1A,547.0
C1orf54,16.0
CIART,6.0
MRPS21,948.0
PRPF3,168.0
RPRD2,210.0
TARS2,72.0
ECM1,2.0
FALEC,26.0
MCL1,528.0
ENSA,651.0
GOLPH3L,94.0
CTSS,460.0
CTSK,6.0
ARNT,76.0
SETDB1,65.0
CERS2,279.0
FAM63A,49.0
PRUNE,68.0
BNIPL,18.0
C1orf56,1215.0
CDC42SE1,1022.0
MLLT11,49.0
GABPB2,230.0
SEMA6C,11.0
TNFAIP8L2,287.0
SCNM1,368.0
LYSMD1,13.0
VPS72,188.0
PIP5K1A,101.0
PSMD4,740.0
ZNF687,40.0
PI4KB,161.0
RFX5,69.0
RP11-126K1.6,11.0
PSMB4,506.0
POGZ,199.0
CGN,1.0
TUFT1,15.0
SNX27,159.0
MRPL9,409.0
RP11-98D18.3,2.0
TDRKH,15.0
RP11-98D18.9,9.0
C2CD4D,4.0
THEM4,761.0
S100A10,1609.0
S100A11,2199.0
S100A6,4071.0
S100A5,3.0
S100A4,2025.0
S100A13,8.0
RP1-178F15.4,3.0
CHTOP,409.0
SNAPIN,240.0
ILF2,518.0
INTS3,94.0
SLC27A3,21.0
GATAD2B,239.0
DENND4B,105.0
CRTC2,63.0
SLC39A1,133.0
RP11-422P24.12,9.0
CREB3L4,27.0
JTB,1341.0
RP11-422P24.11,14.0
RAB13,1.0
RPS27,173051.0
NUP210L,5.0
TPM3,1208.0
C1orf43,538.0
UBAP2L,140.0
HAX1,874.0
ATP8B2,77.0
RP11-350G8.5,17.0
IL6R,254.0
UBE2Q1,137.0
ADAR,605.0
KCNN3,4.0
PMVK,235.0
RP11-307C12.13,2.0
PBXIP1,774.0
PYGO2,165.0
RP11-307C12.12,34.0
SHC1,81.0
CKS1B,217.0
FLAD1,153.0
ZBTB7B,76.0
RP11-307C12.11,3.0
ADAM15,36.0
EFNA4,57.0
EFNA3,19.0
EFNA1,14.0
SLC50A1,147.0
DPM3,399.0
KRTCAP2,1206.0
TRIM46,6.0
THBS3,6.0
MTX1,129.0
GBA,66.0
FAM189B,61.0
SCAMP3,279.0
CLK2,40.0
HCN3,9.0
FDPS,424.0
RUSC1-AS1,6.0
RUSC1,74.0
ASH1L,598.0
ASH1L-AS1,21.0
MSTO1,40.0
YY1AP1,137.0
DAP3,563.0
GON4L,344.0
SYT11,8.0
RIT1,148.0
KIAA0907,440.0
ARHGEF2,329.0
RP11-336K24.12,11.0
SSR2,3151.0
UBQLN4,60.0
LAMTOR2,313.0
RAB25,5.0
LMNA,13.0
SLC25A44,38.0
PMF1-BGLAP,13.0
PMF1,295.0
BGLAP,16.0
PAQR6,3.0
SMG5,59.0
TMEM79,42.0
GLMP,52.0
CCT3,877.0
TSACC,6.0
MEF2D,49.0
RP11-284F21.8,1.0
TTC24,3.0
APOA1BP,322.0
GPATCH4,221.0
AL365181.2,14.0
RP11-66D17.3,2.0
ISG20L2,197.0
RRNAD1,36.0
MRPL24,236.0
HDGF,202.0
PRCC,164.0
SH2D2A,47.0
ARHGEF11,9.0
ETV3,34.0
FCRL2,3.0
PYHIN1,218.0
IFI16,753.0
DUSP23,145.0
FCRL6,21.0
C1orf204,6.0
VSIG8,10.0
TAGLN2,619.0
LINC01133,4.0
PIGM,95.0
IGSF8,154.0
ATP1A2,2.0
PEA15,44.0
DCAF8,176.0
RP11-574F21.3,9.0
RP11-574F21.2,6.0
PEX19,94.0
COPA,220.0
NCSTN,117.0
NHLH1,2.0
SLAMF6,110.0
CD84,261.0
SLAMF1,90.0
RP11-404F10.2,18.0
CD48,2462.0
SLAMF7,18.0
LY9,401.0
F11R,36.0
TSTD1,1175.0
USF1,19.0
ARHGAP30,721.0
KLHDC9,2.0
PFDN2,616.0
NIT1,129.0
DEDD,68.0
UFC1,1138.0
RP11-297K8.2,4.0
USP21,49.0
PPOX,67.0
B4GALT3,267.0
ADAMTS4,3.0
NDUFS2,578.0
FCER1G,32.0
TOMM40L,16.0
NR1I3,6.0
MPZ,29.0
SDHC,562.0
FCRLB,12.0
DUSP12,141.0
ATF6,216.0
UHMK1,289.0
UAP1,123.0
DDR2,4.0
HSD17B7,109.0
RGS5,6.0
RGS5.1,15.0
NUF2,6.0
PBX1,5.0
MGST3,658.0
ALDH9A1,216.0
TMCO1,549.0
RP11-466F5.8,11.0
UCK2,5.0
POGK,93.0
TADA1,44.0
GPA33,49.0
RP11-277B15.3,6.0
POU2F1,94.0
CD247,1490.0
RP11-104L21.3,76.0
CREG1,88.0
RP3-455J7.4,8.0
RCSD1,1105.0
MPZL1,46.0
MPC2,446.0
DCAF6,110.0
GPR161,6.0
TIPRL,240.0
SFT2D2,114.0
TBX19,3.0
XCL2,10.0
XCL1,10.0
ATP1B1,11.0
NME7,65.0
BLZF1,81.0
SLC19A2,9.0
F5,21.0
C1orf112,12.0
SELL,2260.0
METTL18,184.0
SCYL3,101.0
KIFAP3,55.0
GORAB,38.0
FMO4,8.0
PRRC2C,1338.0
VAMP4,102.0
METTL13,106.0
DNM3,8.0
PIGC,287.0
SUCO,79.0
FASLG,8.0
TNFSF4,6.0
RP11-296O14.3,36.0
PRDX6,819.0
KLHL20,165.0
CENPL,45.0
DARS2,31.0
GAS5-AS1,4.0
ZBTB37,87.0
RC3H1,97.0
RP11-160H22.5,3.0
RABGAP1L,191.0
CACYBP,852.0
MRPS14,320.0
KIAA0040,66.0
RFWD2,123.0
RASAL2,5.0
C1orf220,2.0
RALGPS2,42.0
FAM20B,33.0
TOR3A,140.0
ABL2,94.0
SOAT1,96.0
TOR1AIP2,278.0
RP11-533E19.7,25.0
TOR1AIP1,182.0
RP11-533E19.5,18.0
CEP350,257.0
QSOX1,36.0
ACBD6,178.0
XPR1,27.0
KIAA1614,5.0
KIAA1614-AS1,1.0
STX6,73.0
MR1,88.0
IER5,65.0
GLUL,95.0
RGSL1,4.0
RNASEL,84.0
RGS16,24.0
NPL,13.0
DHX9,271.0
SMG7,70.0
NCF2,35.0
ARPC5,1473.0
RGL1,5.0
COLGALT2,3.0
TSEN15,195.0
C1orf21,40.0
EDEM3,108.0
FAM129A,40.0
RNF2,117.0
TRMT1L,104.0
SWT1,41.0
IVNS1ABP,265.0
PRG4,3.0
TPR,1051.0
C1orf27,90.0
LINC01037,3.0
RP11-445P19.3,3.0
RGS1,25.0
RGS2,32.0
LINC01032,2.0
UCHL5,141.0
TROVE2,401.0
RP11-101E13.5,10.0
GLRX2,83.0
CDC73,155.0
B3GALT2,7.0
CFH,13.0
ZBTB41,24.0
DENND1B,60.0
NEK7,182.0
PTPRC,2646.0
MIR181A1HG,111.0
ZNF281,255.0
KIF14,2.0
DDX59,85.0
RP11-92G12.3,3.0
CAMSAP2,28.0
C1orf106,3.0
KIF21B,84.0
RP11-168O16.1,3.0
TMEM9,133.0
PHLDA3,21.0
CSRP1,61.0
RP11-134G8.7,10.0
RP11-134G8.5,40.0
NAV1,2.0
IPO9-AS1,4.0
IPO9,162.0
TIMM17A,142.0
RNPEP,104.0
ELF3,2.0
ARL8A,63.0
PTPN7,278.0
UBE2T,42.0
PPP1R12B,47.0
KDM5B,46.0
PCAT6,3.0
RABIF,164.0
KLHL12,76.0
ADIPOR1,266.0
CYB5R1,195.0
TMEM183A,289.0
BTG2,806.0
ATP2B4,110.0
LAX1,132.0
ZC3H11A,227.0
ZBED6,84.0
SNRPE,1167.0
SOX13,2.0
ETNK2,4.0
PPP1R15B,98.0
PIK3C2B,34.0
MDM4,985.0
RP11-430C7.4,17.0
LRRN2,2.0
RP11-430C7.5,4.0
TMEM81,8.0
RBBP5,206.0
DSTYK,167.0
TMCC2,5.0
NUAK2,148.0
CDK18,3.0
MFSD4,19.0
ELK4,368.0
NUCKS1,924.0
RAB29,258.0
SLC41A1,40.0
PM20D1,3.0
SRGAP2,42.0
IKBKE,75.0
RP11-534L20.5,2.0
RASSF5,620.0
EIF2D,173.0
MAPKAPK2,70.0
IL24,25.0
FCMR,1237.0
PFKFB2,6.0
YOD1,25.0
C4BPB,5.0
CD55,355.0
CR2,5.0
CR1,6.0
CD46,419.0
C1orf132,152.0
PLXNA2,2.0
RP1-28O10.1,4.0
TRAF3IP3,2768.0
C1orf74,10.0
DIEXF,77.0
HHAT,12.0
RCOR3,85.0
TRAF5,169.0
LINC00467,33.0
SLC30A1,7.0
LPGAT1,44.0
INTS7,18.0
PPP2R5A,162.0
RP11-384C4.7,5.0
TMEM206,45.0
NENF,481.0
RP11-61J19.5,17.0
ATF3,4.0
NSL1,321.0
TATDN3,50.0
FLVCR1-AS1,32.0
FLVCR1,35.0
VASH2,7.0
ANGEL2,125.0
RPS6KC1,25.0
SMYD2,82.0
PTPN14,20.0
CENPF,21.0
KCTD3,5.0
GPATCH2,73.0
RRP15,205.0
LYPLAL1-AS1,2.0
LYPLAL1,117.0
RP11-392O17.2,5.0
EPRS,392.0
BPNT1,55.0
IARS2,213.0
RAB3GAP2,129.0
C1orf115,3.0
DUSP10,15.0
RP11-378J18.9,5.0
TAF1A,38.0
TAF1A-AS1,14.0
MIA3,306.0
RP11-378J18.8,12.0
AIDA,219.0
BROX,215.0
RP11-452F19.3,49.0
DISP1,14.0
TLR5,23.0
SUSD4,14.0
CAPN2,268.0
TP53BP2,63.0
FBXO28,69.0
DEGS1,357.0
RP11-365O16.6,1.0
NVL,75.0
CNIH4,230.0
WDR26,112.0
CNIH3,11.0
DNAH14,15.0
